code,name,n_declared,n_cumulative,declared_share_pct,flows_mostly_from_waste_services,waste_share_pct,variant,within10_declared,within10_declared_pct,kg_mass_declared_pct
f44d9ac3-f0cb-311d-bdba-3fd3946b573c,"Acetone, liquid, at plant",132,1782,7.4,1680,94.3,main,3,2.3,0.1
f44d9ac3-f0cb-311d-bdba-3fd3946b573c,"Acetone, liquid, at plant",132,1782,7.4,1680,94.3,draft,1,0.8,0.0
dad0fc14-f7f9-3292-8754-ac91fe7c2825,"Acrylonitrile-butadiene-styrene copolymer, ABS, at plant",137,1769,7.7,1691,95.6,main,17,12.4,0.0
cc45b5d8-b51c-3511-9138-6328a672d020,"Benzene, at plant",133,1782,7.5,1639,92.0,main,0,0.0,0.0
c4205d45-8dfb-3aad-ab3f-339c6b1da3f4,"Butadiene, at plant",124,1782,7.0,1662,93.3,,,,
dacb7921-fc1f-3ac6-8903-c667d2bddaf4,"Butene, mixed, at plant",126,1782,7.1,1697,95.2,,,,
0a1033cd-0bf1-3ee9-8942-87d11f4b5b76,"Carbon tetrachloride, at plant",78,1771,4.4,1695,95.7,,,,
f8776697-a950-3522-9852-0dfeca6a8279,"Dichloromethane, at plant",84,1782,4.7,1692,94.9,,,,
c80b8e9e-8a0d-36f6-a4a2-1509d03e42c2,"Epoxy resin, liquid, at plant",102,1771,5.8,1668,94.2,main,4,3.9,76.3
c80b8e9e-8a0d-36f6-a4a2-1509d03e42c2,"Epoxy resin, liquid, at plant",102,1771,5.8,1668,94.2,draft,6,5.9,76.3
0f667d2d-2007-3185-8aeb-0b8e6fbdfb5c,"Hydrogen cyanide, at plant",131,1782,7.4,1706,95.7,draft,4,3.1,0.0
5ac0612d-cd34-3b83-bfc8-a9bf1983b68b,"Hydrogen, cracking, APME, at plant",127,1771,7.2,1695,95.7,,,,
291b03c4-2679-3b22-afb9-60c0228619f2,"Methyl methacrylate, at plant",135,1771,7.6,1681,94.9,main,10,7.4,0.0
a86e40e4-1bf1-3124-8798-38c0e6b6af64,"Methylchloride, at plant",85,1782,4.8,1649,92.5,,,,
c35b697b-e4d0-3d3b-874f-8e1554a6ad67,"Methylene diphenyl diisocyanate, at plant",135,1782,7.6,1678,94.2,main,4,3.0,12.9
a1d7a889-ea1b-3f62-b741-f16ed300f920,"Naphtha, APME mix, at refinery",110,1782,6.2,1724,96.7,main,4,3.6,0.0
a22a1218-236e-32ca-8e90-302962a36fb5,"Nylon 6, at plant",138,1771,7.8,1658,93.6,,,,
9cd9d57f-0df0-3a2c-bb24-c50f0a1b2286,"Nylon 66, at plant",134,1782,7.5,1681,94.3,main,6,4.5,0.1
330e6ef1-e66d-3745-8b7f-eca35c8869a6,"Nylon 66, glass-filled, at plant",134,1782,7.5,1677,94.1,main,13,9.7,90.0
2b89ce00-c1f2-3e3e-b822-550b42aa88c2,"Pentane, at plant",124,1782,7.0,1707,95.8,,,,
5e272c8e-e9bc-3aa1-829e-035140910236,"Polybutadiene, at plant",128,1782,7.2,1703,95.6,main,13,10.2,0.0
53117f8b-9311-37b3-bf5b-6e14b2ae711c,"Polycarbonate, at plant",135,1782,7.6,1661,93.2,main,0,0.0,0.0
cde75755-0bae-3223-89c8-c38412981461,"Polymethyl methacrylate, beads, at plant",135,1782,7.6,1681,94.3,main,25,18.5,97.5
09913ea6-df42-3720-8981-e46d587a30d8,"Polymethyl methacrylate, sheet, at plant",138,1771,7.8,1680,94.9,main,25,18.1,0.7
ec16c280-6141-3c0b-a896-b895d82ef62d,"Polyols, at plant",137,1771,7.7,1674,94.5,main,5,3.6,0.0
1235438d-3385-3bd1-8921-17951c10c464,"Polystyrene, general purpose, GPPS, at plant",137,1782,7.7,1678,94.2,main,14,10.2,1.5
b2ddf286-46b3-3a00-8b8a-c38b11ced364,"Polystyrene, high impact, HIPS, at plant",136,1780,7.6,1667,93.7,main,5,3.7,0.1
d10bea27-bb15-3e80-a163-9c8260f2b785,"Polyvinylidenchloride, granulate, at plant",132,1782,7.4,1689,94.8,,,,
169c6f0a-21f5-3497-b439-a46a8e2f5a3b,"Propylene, at plant",124,1782,7.0,1704,95.6,,,,
76aac688-8d44-3337-ac3e-9cac4cdafd8b,"Styrene, at plant",135,1782,7.6,1705,95.7,main,5,3.7,0.1
61383306-1d5d-3a54-8ef2-bc147f1af68b,"Styrene-acrylonitrile copolymer, SAN, at plant",135,1782,7.6,1697,95.2,main,3,2.2,1.2
4cad79ab-f140-35b7-a82d-bcbddc19cae9,"Tetrachloroethylene, at plant",88,1782,4.9,1651,92.6,,,,
350909e9-9a74-33ff-a033-7d15c95e97dc,"Toluene diisocyanate, at plant",134,1782,7.5,1674,93.9,main,6,4.5,0.0
1f6091b0-b8fd-3f54-b98b-dbfa5490e46a,"Toluene, liquid, at plant",134,1771,7.6,1671,94.4,,,,
48a7efb7-799c-30c3-b932-2c52a61da6bd,"Trichloroethylene, at plant",86,1782,4.8,1696,95.2,,,,
69fc38b9-c577-3cb3-b1d2-dd37d22c46df,"xx Acetone cyanohydrin, at plant",135,1782,7.6,1688,94.7,main,11,8.1,95.8
ada054d4-788d-3c16-aefb-e280c49a807b,"xx Ethylene, pipeline system, at plant",126,1782,7.1,1710,96.0,,,,
ebb59715-41fd-36c1-81c1-70ee260e240e,"xx Nylon 6, glass-filled, at plant",139,1782,7.8,1676,94.1,main,9,6.5,86.9
62ed2669-7c6d-3924-abd3-39bd842f5207,"xx Propylene, pipeline system, at plant",126,1771,7.1,1708,96.4,,,,
